CountryCode,CountryName,PPP_Value,Factor,RawPrice,FinalPrice_USD
CAF,Central African Republic,247.78023515424,1.0,9.99,9.99
TCD,Chad,212.580975482862,1.0,9.99,9.99
CHL,Chile,435.778953,1.0,9.99,9.99
CHN,China,3.5325492491585,1.0,9.99,9.99
COL,Colombia,1443.718515,1.0,9.99,9.99
COM,Comoros,190.919893997601,1.0,9.99,9.99
COD,"Congo, Dem. Rep.",1006.63613613611,1.0,9.99,9.99
COG,"Congo, Rep.",214.20757379411,1.0,9.99,9.99
CRI,Costa Rica,307.792355,1.0,9.99,9.99
CIV,Cote d'Ivoire,215.672888731457,1.0,9.99,9.99
HRV,Croatia,0.44841971235566,0.44841971235566,6.68051827413396,6.99
CUW,Curacao,1.25013046369671,1.0,9.99,9.99
CYP,Cyprus,0.56709589608174,0.56709589608174,7.3925753764904405,7.99
CZE,Czechia,12.823227,1.0,9.99,9.99
DNK,Denmark,6.050211,1.0,9.99,9.99
DJI,Djibouti,80.8413593974005,1.0,9.99,9.99
DMA,Dominica,1.31893659155379,1.0,9.99,9.99
DOM,Dominican Republic,23.5211016601759,1.0,9.99,9.99
ECU,Ecuador,0.434001889105821,0.434001889105821,6.594011334634926,6.99
